Symbol,Total Return %,CAGR %,Max Drawdown %,Sharpe,Win Rate %,Trades,Profit Factor
ADANIGREEN,4787.16,61.28,49.3,1.24,75.0,4,78.71
ADANIPOWER,2093.65,30.51,64.7,0.69,66.67,6,13.15
ABB,526.61,17.14,40.57,0.5,42.86,7,13.58
APLAPOLLO,333.46,13.48,49.32,0.35,42.86,7,9.02
AIAENG,79.33,5.17,51.92,0.04,50.0,6,2.4
ADANIPORTS,74.62,4.92,65.07,0.07,33.33,9,2.03
AAVAS,37.84,4.18,40.62,-0.04,50.0,4,2.95
ACC,6.88,0.58,47.32,-0.23,22.22,9,1.44
3MINDIA,6.54,0.55,62.17,-0.19,50.0,8,1.47
AUBANK,-17.76,-2.13,70.15,-0.17,16.67,6,0.54
